,x1,x2,x3,x4,x5,x6,x7,x8,x9,Y,Pred
0,0.27,0.16,0.17,0.26,0.73,0.75,0.43,0.33,0.97,1.0,1
1,0.47,0.54,0.07,0.51,0.36,0.98,0.61,0.54,0.56,1.0,1
2,0.48,0.07,1.0,0.92,0.55,0.74,0.89,0.93,0.14,0.0,1
3,0.89,0.93,0.2,0.1,0.16,0.8299999999999998,0.29,0.71,0.91,0.0,0
4,0.58,0.47,0.79,0.33,0.9,0.69,0.43,0.01,0.9,0.0,0
5,0.43,0.88,0.14,0.66,0.43,0.23,0.44,0.64,0.18,1.0,0
6,0.12,0.64,0.96,0.39,0.8,0.27,0.43,0.57,0.8499999999999999,0.0,0
7,0.74,0.18,0.08999999999999998,0.55,0.08999999999999998,0.86,0.62,0.5,0.66,1.0,1
8,0.13,0.94,0.97,0.38,0.1,0.41,0.1,0.32,0.2,0.0,0
9,0.04,0.74,0.6,0.64,0.27,0.58,0.41,0.12,0.66,0.0,0
10,0.11,0.32,0.81,0.5,0.26,0.42,0.08999999999999998,0.8199999999999998,0.51,0.0,0
11,0.55,0.1,0.4,0.68,0.26,0.48,0.78,0.01,0.04,1.0,1
12,0.78,0.96,0.27,0.04,0.46,0.91,0.64,0.72,0.91,0.0,0
13,0.92,0.94,0.32,0.92,0.2,0.22,0.92,0.29,0.54,1.0,1
14,0.62,0.71,0.07,0.95,0.47,0.57,0.78,0.22,0.07,1.0,1
15,0.34,0.03,0.04,0.2,0.44,0.45,0.92,0.48,0.35,1.0,1
16,0.65,0.72,0.71,0.58,0.8499999999999999,0.9900000000000002,0.64,0.5,0.88,0.0,0
17,0.06,0.63,0.78,0.96,0.02,0.81,0.1,0.14,0.67,0.0,0
18,0.3,0.49,0.63,0.35,0.94,0.7,0.28,0.37,0.8199999999999998,0.0,0
19,0.22,0.53,0.08,0.31,0.92,0.27,0.3,0.28,0.8299999999999998,1.0,1
20,0.69,0.32,0.29,0.57,0.13,0.05,0.72,0.14,0.81,1.0,1
21,0.21,0.35,0.69,0.64,0.8399999999999999,0.9,0.55,0.65,0.27,0.0,0
22,0.92,0.33,0.08,0.94,0.94,0.39,0.55,0.08999999999999998,0.48,1.0,1
23,0.36,0.34,0.61,0.51,0.39,0.75,0.91,0.71,0.9,1.0,1
24,0.59,0.68,0.0,0.97,0.4,0.89,0.3,0.88,0.71,1.0,1
25,0.2,0.75,0.8299999999999998,0.74,0.9,0.71,0.31,0.71,0.8,0.0,0
26,0.19,0.23,0.16,0.54,0.8,0.55,1.0,0.25,0.91,1.0,1
27,0.55,0.92,0.9,0.46,0.93,0.07,0.54,0.66,0.04,0.0,0
28,0.51,0.94,0.58,0.45,0.32,0.61,0.44,0.32,0.88,0.0,0
29,0.43,0.73,0.94,0.23,0.47,0.88,0.19,0.2,0.5,0.0,0
30,0.9,0.78,0.79,0.03,0.67,0.87,0.63,0.64,0.6,0.0,0
31,0.02,0.42,0.01,0.15,0.71,0.43,0.29,0.1,0.75,1.0,1
32,0.48,0.64,0.88,0.13,0.05,0.44,0.75,0.2,0.05,0.0,0
33,0.8499999999999999,0.36,0.07,0.14,0.73,0.77,0.6,0.05,0.36,1.0,1
34,0.15,0.02,0.39,0.9,0.31,0.52,0.11,0.25,0.73,1.0,1
35,0.97,0.51,0.89,0.59,0.78,0.13,0.37,0.2,0.12,0.0,0
36,0.03,0.71,0.56,0.62,0.46,0.08999999999999998,0.29,0.0,0.96,1.0,0
37,0.43,0.11,0.8199999999999998,0.98,0.75,1.0,0.08999999999999998,0.69,0.75,0.0,0
